question,a,b,c,d,correct_answer,marks
What is the capital of India?,Mumbai,New Delhi,Kolkata,Chennai,B,1
Which planet is closest to the Sun?,Earth,Mars,Mercury,Venus,C,1
What is 15 x 8?,100,110,120,130,C,2
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,James Watt,C,1
What is the chemical symbol for water?,H2O2,HO,H2O,OH,C,1
Which is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D,2
What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Central Program Unit,Control Processing Unit,A,1
In which year did World War II end?,1942,1943,1944,1945,D,2
What is the square root of 144?,10,11,12,14,C,1
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,1
